trade_id,timestamp,pair,signal,entry_price,exit_price,profit,drawdown
128,2024-01-02,GBP/USD,STRONG_SELL,1.22614,1.22317,297.0,0.0
34,2024-01-05,EUR/USD,BUY,1.0643,1.06311,-119.0,0.0
55,2024-01-08,USD/JPY,BUY,146.29441,146.28888,-5530.0,0.0
56,2024-01-11,EUR/USD,STRONG_BUY,1.07145,1.0756,415.0,0.0
127,2024-01-12,EUR/USD,BUY,1.05414,1.05766,352.0,0.0
38,2024-01-12,AUD/USD,STRONG_SELL,0.69641,0.69475,166.0,0.0
100,2024-01-15,USD/INR,BUY,82.78943,82.79188,2450.0,0.0
145,2024-01-16,USD/INR,SELL,82.26169,82.26087,820.0,0.0
31,2024-01-20,EUR/USD,STRONG_BUY,1.09821,1.09923,102.0,0.0
37,2024-01-20,AUD/USD,STRONG_BUY,0.67677,0.67751,74.0,0.0
121,2024-01-21,USD/INR,BUY,83.3085,83.31079,2290.0,0.0
82,2024-01-21,GBP/USD,STRONG_SELL,1.28051,1.27769,282.0,0.0
32,2024-01-22,EUR/USD,SELL,1.06463,1.0631,153.0,0.0
16,2024-01-24,USD/JPY,SELL,140.92713,140.92624,890.0,0.0
72,2024-01-24,AUD/USD,SELL,0.65727,0.65924,-197.0,0.0
84,2024-01-24,USD/INR,SELL,82.33644,82.33688,-440.0,0.0
103,2024-01-27,USD/JPY,SELL,147.00092,147.00072,200.0,0.0
126,2024-02-01,EUR/USD,SELL,1.06189,1.05764,425.0,0.0
91,2024-02-03,EUR/USD,SELL,1.09708,1.10034,-326.0,0.0
110,2024-02-05,EUR/USD,STRONG_SELL,1.07074,1.07362,-288.0,0.0
29,2024-02-06,USD/INR,SELL,83.05887,83.06076,-1890.0,0.0
2,2024-02-08,USD/INR,STRONG_SELL,83.90144,83.9007,740.0,0.0
53,2024-02-10,USD/JPY,SELL,145.89656,145.89321,3350.0,0.0
6,2024-02-10,EUR/USD,BUY,1.10874,1.10988,114.0,0.0
119,2024-02-11,EUR/USD,BUY,1.05102,1.05291,189.0,0.0
28,2024-02-13,GBP/USD,STRONG_SELL,1.22826,1.2301,-184.0,0.0
150,2024-02-14,USD/JPY,STRONG_SELL,152.47311,152.47611,-3000.0,0.0
134,2024-02-15,EUR/USD,STRONG_BUY,1.11848,1.11882,34.0,0.0
120,2024-02-16,GBP/USD,BUY,1.26573,1.26477,-96.0,0.0
17,2024-02-17,AUD/USD,STRONG_SELL,0.66049,0.65774,275.0,0.0
116,2024-02-17,USD/INR,SELL,82.31774,82.32196,-4220.0,0.0
142,2024-02-18,EUR/USD,BUY,1.07887,1.0772,-167.0,0.0
63,2024-02-18,USD/JPY,SELL,140.52009,140.51519,4900.0,0.0
117,2024-02-19,USD/INR,BUY,84.08843,84.08784,-590.0,0.0
30,2024-02-26,EUR/USD,BUY,1.08206,1.08453,247.0,0.0
74,2024-02-26,AUD/USD,STRONG_SELL,0.68611,0.68134,477.0,0.0
41,2024-02-27,AUD/USD,SELL,0.65009,0.64943,66.0,0.0
71,2024-03-04,AUD/USD,BUY,0.69339,0.69558,219.0,0.0
148,2024-03-04,GBP/USD,STRONG_SELL,1.24366,1.24291,75.0,0.0
146,2024-03-04,EUR/USD,BUY,1.05878,1.05588,-290.0,0.0
11,2024-03-07,EUR/USD,STRONG_BUY,1.07416,1.07588,172.0,0.0
18,2024-03-09,USD/JPY,SELL,149.71275,149.71287,-120.0,0.0
22,2024-03-12,USD/INR,BUY,83.32864,83.33069,2050.0,0.0
78,2024-03-14,GBP/USD,STRONG_SELL,1.23397,1.2326,137.0,0.0
61,2024-03-15,AUD/USD,SELL,0.67317,0.67492,-175.0,0.0
101,2024-03-17,EUR/USD,SELL,1.09397,1.09316,81.0,0.0
54,2024-03-17,GBP/USD,BUY,1.29586,1.30103,517.0,0.0
14,2024-03-18,AUD/USD,STRONG_SELL,0.69941,0.70528,-587.0,0.0
64,2024-03-18,USD/INR,SELL,82.84328,82.84566,-2380.0,0.0
90,2024-03-21,GBP/USD,SELL,1.25711,1.25609,102.0,0.0
25,2024-03-22,GBP/USD,STRONG_SELL,1.27256,1.27301,-45.0,0.0
125,2024-03-23,AUD/USD,BUY,0.64681,0.63906,-775.0,0.0
129,2024-03-24,GBP/USD,STRONG_SELL,1.25917,1.26005,-88.0,0.0
99,2024-03-25,GBP/USD,BUY,1.29973,1.30296,323.0,0.0
59,2024-03-25,AUD/USD,STRONG_SELL,0.69582,0.69595,-13.0,0.0
4,2024-03-26,GBP/USD,SELL,1.23636,1.23434,202.0,0.0
115,2024-03-28,EUR/USD,BUY,1.0509,1.05218,128.0,0.0
112,2024-03-30,GBP/USD,STRONG_SELL,1.29326,1.29228,98.0,0.0
62,2024-03-31,USD/INR,BUY,82.67044,82.66874,-1700.0,0.0
122,2024-04-06,GBP/USD,SELL,1.23618,1.2394,-322.0,0.0
88,2024-04-07,USD/INR,STRONG_SELL,82.56432,82.56403,290.0,0.0
23,2024-04-07,USD/JPY,STRONG_SELL,151.00825,151.00459,3660.0,0.0
8,2024-04-08,AUD/USD,STRONG_BUY,0.68809,0.68928,119.0,0.0
97,2024-04-09,USD/JPY,STRONG_BUY,153.98817,153.9831,-5070.0,0.0
35,2024-04-11,USD/JPY,STRONG_BUY,147.97358,147.9737,120.0,0.0
39,2024-04-13,USD/INR,STRONG_BUY,82.63834,82.63767,-670.0,0.0
139,2024-04-14,EUR/USD,SELL,1.07488,1.07527,-39.0,0.0
50,2024-04-17,AUD/USD,STRONG_BUY,0.66758,0.67035,277.0,0.0
10,2024-04-17,USD/JPY,BUY,151.24139,151.24213,740.0,0.0
68,2024-04-18,GBP/USD,BUY,1.28144,1.28499,355.0,0.0
138,2024-04-18,AUD/USD,STRONG_BUY,0.67431,0.67286,-145.0,0.0
132,2024-04-19,USD/JPY,STRONG_BUY,151.72449,151.72308,-1410.0,0.0
52,2024-04-20,AUD/USD,BUY,0.67393,0.67104,-289.0,0.0
44,2024-04-20,USD/INR,BUY,82.99557,83.00088,5310.0,0.0
105,2024-04-23,USD/JPY,STRONG_BUY,149.24642,149.23983,-6590.0,0.0
111,2024-04-27,GBP/USD,STRONG_SELL,1.26915,1.27492,-577.0,0.0
123,2024-04-28,USD/INR,STRONG_BUY,84.20891,84.20662,-2290.0,0.0
106,2024-04-29,EUR/USD,BUY,1.0606,1.05799,-261.0,0.0
77,2024-04-30,AUD/USD,BUY,0.67736,0.67886,150.0,0.0
79,2024-05-05,USD/JPY,STRONG_BUY,153.35576,153.36083,5070.0,0.0
46,2024-05-08,USD/JPY,STRONG_BUY,147.26031,147.25971,-600.0,0.0
135,2024-05-10,USD/JPY,STRONG_BUY,144.08976,144.08765,-2110.0,0.0
109,2024-05-12,EUR/USD,STRONG_BUY,1.05815,1.05578,-237.0,0.0
89,2024-05-12,AUD/USD,STRONG_SELL,0.65061,0.6505,11.0,0.0
66,2024-05-13,USD/JPY,STRONG_SELL,149.84579,149.84404,1750.0,0.0
95,2024-05-15,AUD/USD,SELL,0.64648,0.63862,786.0,0.0
51,2024-05-16,EUR/USD,SELL,1.09359,1.09554,-195.0,0.0
96,2024-05-16,GBP/USD,STRONG_BUY,1.26685,1.26512,-173.0,0.0
87,2024-05-17,USD/INR,STRONG_SELL,83.41436,83.41675,-2390.0,0.0
86,2024-05-18,EUR/USD,STRONG_BUY,1.07259,1.07082,-177.0,0.0
149,2024-05-18,EUR/USD,STRONG_SELL,1.06391,1.06616,-225.0,0.0
108,2024-05-18,AUD/USD,SELL,0.64351,0.64482,-131.0,0.0
40,2024-05-19,USD/INR,STRONG_BUY,82.72001,82.71786,-2150.0,0.0
141,2024-05-20,GBP/USD,STRONG_SELL,1.23681,1.233,381.0,0.0
57,2024-05-21,USD/INR,STRONG_BUY,82.01564,82.01601,370.0,0.0
124,2024-05-21,GBP/USD,STRONG_SELL,1.26591,1.26758,-167.0,0.0
92,2024-05-23,GBP/USD,STRONG_BUY,1.22956,1.23317,361.0,0.0
67,2024-05-24,AUD/USD,STRONG_SELL,0.64487,0.64285,202.0,0.0
26,2024-05-24,GBP/USD,STRONG_SELL,1.22836,1.22558,278.0,0.0
113,2024-05-25,USD/INR,STRONG_BUY,84.18783,84.18934,1510.0,0.0
24,2024-05-25,GBP/USD,STRONG_BUY,1.22121,1.22688,567.0,0.0
102,2024-05-26,EUR/USD,BUY,1.05843,1.06012,169.0,0.0
147,2024-05-29,EUR/USD,BUY,1.11032,1.11333,301.0,0.0
143,2024-05-29,USD/INR,BUY,82.33296,82.33157,-1390.0,0.0
70,2024-05-30,EUR/USD,STRONG_BUY,1.05697,1.05848,151.0,0.0
7,2024-06-01,USD/JPY,STRONG_SELL,140.74422,140.74573,-1510.0,0.0
5,2024-06-05,AUD/USD,BUY,0.6681,0.667,-110.0,0.0
